cat;Шарик;м;1;К нам он попал от своих бывших хозяев, к сожалению у них обнаржили аллергию на шерсть, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Кимрик;http://cdn.some-random-api.ml/M2nI-HPn;0;2023-04-12 00:11:42.279889;2023-04-12 00:11:42.279889
dog;Шафран;м;20;К нам он попал от своих бывших хозяев, они уезжали из города и не смогли взять его с собой, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Большой швейцарский зенненхунд;https://cdn.some-random-api.ml/iLJM55p7;0;2023-04-12 00:11:42.625080;2023-04-12 00:11:42.625080
cat;Штирлиц;м;14;К нам он попал от неравнодушных людей. Нашли его просто на улице среди мусорных баков. Было видно, что животное домашнее, но брощено. Нам показалось, что его просто выкинули на улицу. При проверке оказалось, что есть почти все прививки, которые необходимо. Мы его согрели, накормили и стали любить как своего родного. Он очень ждет свох новых хозяев, обещал, то будет любить их очень сильно!;Курильский бобтейл длинношёрстный;http://cdn.some-random-api.ml/484AvRL8;0;2023-04-12 00:11:43.027868;2023-04-12 00:11:43.027868
dog;Эдгар;м;19;К нам он попал от неравнодушных людей. Нашли его просто на улице среди мусорных баков. Было видно, что животное домашнее, но брощено. Нам показалось, что его просто выкинули на улицу. При проверке оказалось, что есть почти все прививки, которые необходимо. Мы его согрели, накормили и стали любить как своего родного. Он очень ждет свох новых хозяев, обещал, то будет любить их очень сильно!;Китайская хохлатая собака;https://cdn.some-random-api.ml/HMjqFefw;0;2023-04-12 00:11:43.368624;2023-04-12 00:11:43.368624
cat;Эрагон;м;11;К нам он попал от своих бывших хозяев, к сожалению у них обнаржили аллергию на шерсть, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Канаани;http://cdn.some-random-api.ml/W_vKtYvq;0;2023-04-12 00:11:43.747280;2023-04-12 00:11:43.747280
dog;Ютос;м;20;Это замечательное создание попало к нам совсем недавно. Один из наших работников нашеле его возле своего дома и не смог пройти мимо. Было видно, что животное домашнее, но брощено. Нам показалось, что его просто выкинули на улицу. При проверке оказалось, что есть почти все прививки, которые необходимо. Мы его согрели, накормили и стали любить как своего родного. Он очень ждет свох новых хозяев, обещал, то будет любить их очень сильно!;Фараонова собака;https://cdn.some-random-api.ml/Ee8M5fjA;0;2023-04-12 00:11:44.111652;2023-04-12 00:11:44.111652
cat;Ягуар;м;7;К нам он попал от своих бывших хозяев, к сожалению у них обнаржили аллергию на шерсть, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Меконгский бобтейл;http://cdn.some-random-api.ml/2qezUziN;0;2023-04-12 00:11:44.555269;2023-04-12 00:11:44.555269
dog;Якут;м;8;К нам он попал от неравнодушных людей. Нашли его просто на улице среди мусорных баков. Было видно, что животное домашнее, но брощено. Нам показалось, что его просто выкинули на улицу. При проверке оказалось, что есть почти все прививки, которые необходимо. Мы его согрели, накормили и стали любить как своего родного. Он очень ждет свох новых хозяев, обещал, то будет любить их очень сильно!;Боксер;https://cdn.some-random-api.ml/m01-MY7d;0;2023-04-12 00:11:44.902806;2023-04-12 00:11:44.902806
cat;Акелло;м;16;К нам он попал от своих бывших хозяев, к сожалению у них обнаржили аллергию на шерсть, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Скиф-тай-дон;https://i.some-random-api.ml/FBRYavJNwG.jpg;0;2023-04-12 00:11:45.250940;2023-04-12 00:11:45.250940
dog;Арес;м;1;К нам он попал от своих бывших хозяев, они уезжали из города и не смогли взять его с собой, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Английский мастиф;https://i.some-random-api.ml/3chXEMxjK5.jpg;0;2023-04-12 00:11:45.600953;2023-04-12 00:11:45.600953
cat;Бард;м;16;К нам он попал от своих бывших хозяев, они уезжали из города и не смогли взять его с собой, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Сомали;http://cdn.some-random-api.ml/GeyppuC5;0;2023-04-12 00:11:45.984014;2023-04-12 00:11:45.984014
dog;Борман;м;7;К нам он попал от неравнодушных людей. Нашли его просто на улице среди мусорных баков. Было видно, что животное домашнее, но брощено. Нам показалось, что его просто выкинули на улицу. При проверке оказалось, что есть почти все прививки, которые необходимо. Мы его согрели, накормили и стали любить как своего родного. Он очень ждет свох новых хозяев, обещал, то будет любить их очень сильно!;Сикоку;https://i.some-random-api.ml/Snzc4MEWcZ.jpg;0;2023-04-12 00:11:46.313739;2023-04-12 00:11:46.313739
cat;Босс;м;14;Это замечательное создание попало к нам совсем недавно. Мы нашли его около дверей нашего приюта совсем холодного и голодного. При проверке оказалось, что есть почти все прививки, которые необходимо. Мы его согрели, накормили и стали любить как своего родного. Он очень ждет свох новых хозяев, обещал, то будет любить их очень сильно!;Колорпойнт;http://cdn.some-random-api.ml/u0J4hBu-;0;2023-04-12 00:11:46.646628;2023-04-12 00:11:46.646628
dog;Брюс;м;9;К нам он попал от своих бывших хозяев, к сожалению у них обнаржили аллергию на шерсть, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Шарпей;https://cdn.some-random-api.ml/lgCPbngs;0;2023-04-12 00:11:46.973953;2023-04-12 00:11:46.973953
cat;Бумер;м;19;Это замечательное создание попало к нам совсем недавно. Один из наших работников нашеле его возле своего дома и не смог пройти мимо. Было видно, что животное домашнее, но брощено. Нам показалось, что его просто выкинули на улицу. При проверке оказалось, что есть почти все прививки, которые необходимо. Мы его согрели, накормили и стали любить как своего родного. Он очень ждет свох новых хозяев, обещал, то будет любить их очень сильно!;Азиатская (табби);http://cdn.some-random-api.ml/dDwMgYkj;0;2023-04-12 00:11:47.320211;2023-04-12 00:11:47.320211
dog;Верон;м;8;К нам он попал от своих бывших хозяев, они уезжали из города и не смогли взять его с собой, и поэтому приняли решения сдать в наш приют. Он очень ласковый, добрый, очень часто улыбается и любит людей. Мы надеемся, что его в новом доме будут любить также сильно, как и мы.;Венгерская борзая;https://cdn.some-random-api.ml/Ee8M5fjA;0;2023-04-12 00:11:47.652723;2023-04-12 00:11:47.652723
